Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4",0603,2,4.7u,
C10,0603,1,0.47u,
"C2, C3, C5, C6, C7, C8, C9",0603,7,0.1u,
"D1, D2, D3, D4",0603,4,LED,
IC1,114993121,1,Wio-E5,
IC2,SOIC127P600X175-8N,1,MCP2562,
J1,SMA_Molex_73251-2120_EdgeMount_Horizontal,1,Conn_Coaxial,
"J2, J3, J5",JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,3,Conn_01x04,
J4,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
JP1,TestPoint_2Pads_Pitch2.54mm_Drill0.8mm,1,Jumper_2_Open,
Q1,SOT-23,1,BSS138,
"R1, R10, R5, R9",0603,4,10k,
R11,0603,1,100,
R2,0603,1,120,
"R3, R6, R7, R8",0603,4,1k,
R4,0603,1,470,
"SW1, SW2, SW3",switch_TVAF06-A020B-R,3,SW_Push,
SW4,SW_DIP_SPSTx02_Slide_9.78x7.26mm_W7.62mm_P2.54mm,1,SW_DIP_x02,
U1,LQFP-32_7x7mm_P0.8mm,1,STM32G431K8Tx,
U2,SOT-23-5_HandSoldering,1,NJM12888F33,
